track_id,app_name,seller_name,bundle_id,app_store_url,release_date,current_version_release_date,app_version,months_since_update,launched_last_12_months,stale_6mo,user_rating_count,user_rating_count_current_version,average_user_rating,primary_genre,genres,app_store_category,content_advisory_rating,minimum_ios_version,gambling_specific,matched_search_terms
6741860812,Cash Legends™: Win Real Money,Bring It On Games Ltd.,com.bringiton.big.cash.legends,https://apps.apple.com/us/app/cash-legends-win-real-money/id6741860812?uo=4,2025-05-19,2026-09-02,2.0.7,0.6,N,N,39225,39225,4.92984,Games,Games; Entertainment; Card; Puzzle,gambling-product,17+,15.0,N,quit gambling; gambling blocker; gambling addiction recovery
6737852275,Fanatics Casino - Real Money,"FBG ENTERPRISES OPCO, LLC",com.fbg.casino,https://apps.apple.com/us/app/fanatics-casino-real-money/id6737852275?uo=4,2025-03-17,2026-09-04,9.9.5,0.5,N,N,33455,33455,4.78284,Games,Games; Casino,gambling-product,17+,17.0,N,quit gambling; gambling addiction recovery
6744109036,Bet Block - Stop Gambling Now,Lucas Yamashita,YSOFTWARE.BetBlock,https://apps.apple.com/us/app/bet-block-stop-gambling-now/id6744109036?uo=4,2025-04-08,2026-07-30,2.1.2,1.7,N,N,372,372,4.76344,Utilities,Utilities; Lifestyle,harm-reduction,4+,16.6,Y,gambling blocker; gambling addiction recovery
1515753232,AppBlock: Block Apps & Website,MobileSoft s.r.o.,eu.mobilesoft.appblock,https://apps.apple.com/us/app/appblock-block-apps-website/id1515753232?uo=4,2021-08-17,2026-09-16,4.12.3,0.1,N,N,6673,6673,4.59269,Productivity,Productivity; Health & Fitness,not-gambling,4+,17.0,N,gambling blocker
1437450983,BetBlocker: Gambling Exclusion,BETBLOCKER,org.betblocker.mobile,https://apps.apple.com/us/app/betblocker-gambling-exclusion/id1437450983?uo=4,2019-04-20,2026-08-27,1.44,0.8,N,N,81,81,2.81481,Productivity,Productivity; Utilities,harm-reduction,4+,16.4,Y,gambling blocker; gambling addiction recovery
1459803064,Block Online Gambling - Gamban,Gamban LTD,com.gamban.Gamban,https://apps.apple.com/us/app/block-online-gambling-gamban/id1459803064?uo=4,2020-04-14,2026-08-10,4.5.5,1.3,N,N,80,80,3.7125,Utilities,Utilities; Productivity,harm-reduction,17+,15.6,Y,gambling blocker; gambling addiction recovery
6786815134,Exclusio - Gambling Blocker,Voresfilm Aps,dk.gamblock.gambleguard,https://apps.apple.com/us/app/exclusio-gambling-blocker/id6786815134?uo=4,2026-07-14,2026-08-20,1.2,1.0,Y,N,0,0,0,Health & Fitness,Health & Fitness; Utilities,harm-reduction,4+,17.6,Y,gambling blocker
6761630487,BettorOff: Gambling Blocker,Haas Clark Holdings LLC,com.sphaas.betteroff,https://apps.apple.com/us/app/bettoroff-gambling-blocker/id6761630487?uo=4,2026-07-28,2026-08-11,1.1,1.3,Y,N,1,1,5,Utilities,Utilities; Health & Fitness,harm-reduction,17+,15.1,Y,gambling blocker
6754121521,Padlock - Quit Gambling Now,Dial Labs LLC,com.checkpointapp.ios.Checkpoint,https://apps.apple.com/us/app/padlock-quit-gambling-now/id6754121521?uo=4,2025-11-18,2026-08-30,2.1.5,0.7,Y,N,27,27,4.22222,Health & Fitness,Health & Fitness; Lifestyle,harm-reduction,17+,17.0,Y,gambling blocker
6745836103,AntiBet: Gambling Casino Block,Lucas Yamashita,YSOFTWARE.NoBet,https://apps.apple.com/us/app/antibet-gambling-casino-block/id6745836103?uo=4,2025-08-28,2025-11-17,1.2,10.1,N,Y,1,1,5,Health & Fitness,Health & Fitness; Utilities,harm-reduction,4+,16.6,Y,gambling blocker
